zone_id,grid_row,grid_col,center_lat,center_lon,NDVI,NDMI,RED_BLUE_RATIO,SWIR_RATIO,SWIR_NIR_RATIO,NIR_RED_RATIO,ELEVATION_M,SLOPE_DEG,TERRAIN_ROUGHNESS_M,NEAREST_MN_SITE,DISTANCE_TO_MN_KM,NDVI_NORM,NDMI_NORM,RED_BLUE_NORM,SWIR_NORM,SWIR_NIR_NORM,NIR_RED_NORM,ELEVATION_NORM,SLOPE_NORM,ROUGHNESS_NORM,MN_PROXIMITY_SCORE,SPECTRAL_SCORE,TERRAIN_SCORE,PROSPECTIVITY_SCORE,PRIORITY
ZONE_001,0,0,21.509,85.49099999999999,0.2912705242633819,0.0001051696890499,1.2625036239624023,1.3172190189361572,1.0123984813690186,1.861953496932984,585.0,1.406423807144165,2.384848117828369,Orissa Deposits,22.809,0.23510376167463132,0.2030672807800594,0.810797190809144,0.2196870611122259,0.7636682037866973,0.1795929629386257,0.050000000000000266,0.08218041000424627,0.0,0.4644828855355163,0.49814023579693895,0.04787216400169858,39.46,LOW
ZONE_002,0,1,21.509,85.493,0.3081839084625244,-0.0063375039026141,1.2271671295166016,1.3338396549224854,1.0200186967849731,1.923187255859375,590.0,8.661291122436523,22.699119567871094,Orissa Deposits,22.644,0.2972071273236142,0.17893595801067685,0.6900373453398996,0.30821001089520994,0.7797368876505568,0.22348602699093667,0.07500000000000018,0.5060981277423798,0.5009853339591185,0.5252116304747885,0.4914275837055919,0.37523485128468753,48.17,MODERATE
ZONE_003,0,2,21.509,85.495,0.3430325090885162,-0.0026247934438288,1.1504204273223877,1.3181285858154297,1.0156943798065186,2.079684019088745,648.0,13.415751457214355,27.16411018371582,Orissa Deposits,22.48,0.4251658706211888,0.19284208147875567,0.42776119025998405,0.22453149325334998,0.7706182369745638,0.33566471033231804,0.3650000000000002,0.7839116130348093,0.6110997833157847,0.5855723224144276,0.40821879248396875,0.6063945802086592,51.88,MODERATE
ZONE_004,0,3,21.509,85.497,0.4438923895359039,0.1186877489089965,1.059345841407776,1.4179762601852417,0.796058177947998,2.6242570877075195,655.0,6.433589458465576,27.39474868774414,Orissa Deposits,22.317,0.7955079595246247,0.647223647429597,0.11652055663989058,0.756328872815561,0.3074732338380244,0.726020961543046,0.3999999999999999,0.3759286616239012,0.6167877307397724,0.6455649613544354,0.45915854093787895,0.45540778387149217,53.3,MODERATE
ZONE_005,0,4,21.509,85.499,0.4874153435230255,0.195277601480484,1.0252498388290403,1.45251202583313,0.6754626035690308,2.911926746368408,684.0,11.001090049743652,39.23292541503906,Orissa Deposits,22.155,0.9553176045821229,0.9340943738394131,0.0,0.9402693580460761,0.05317436506602813,0.9322258879576952,0.5449999999999999,0.6428176814052575,0.9087377982465468,0.7051895472948102,0.47894553310232024,0.693248412036067,61.23,HIGH
ZONE_006,0,5,21.509,85.501,0.4995842576026916,0.2128733396530151,1.0254014730453491,1.4611728191375732,0.6502458453178406,3.006476163864136,735.0,12.804558753967283,32.31829833984375,Orissa Deposits,21.993,0.9999999999999999,1.0,0.0005181986729723143,0.986397494863505,0.0,1.0,0.8000000000000003,0.7481982905716186,0.7382110450233983,0.7648141332351868,0.49675483331776793,0.760742629735667,65.68,HIGH
ZONE_007,0,6,21.509,85.503,0.4671313762664795,0.1622316092252731,1.0506914854049685,1.441084384918213,0.7268393635749817,2.7919721603393555,775.0,16.163894653320312,30.45625305175781,Orissa Deposits,21.832,0.8808379723267913,0.8103191283610761,0.0869449377244984,0.8794047507180931,0.1615121048045296,0.8462410583431863,1.0,0.9444916127896181,0.6922897633868483,0.8240706661759285,0.48620516154536425,0.8854835741319017,70.12,HIGH
ZONE_008,0,7,21.509,85.505,0.4333766996860504,0.1168634742498397,1.0688408613204956,1.4213647842407229,0.7964338064193726,2.558565378189087,709.0,13.003173828125,30.22554016113281,Orissa Deposits,21.672,0.7568959511821515,0.6403907449095815,0.14896908203468007,0.7743764460280751,0.3082653184218991,0.6789323871332256,0.6699999999999999,0.7598038024695211,0.686599981459759,0.8829591461170399,0.4658168323627446,0.7109015154257361,68.17,HIGH
ZONE_009,0,8,21.509,85.507,0.457702100276947,0.155748501420021,1.056227684020996,1.4301807880401611,0.7372239232063293,2.715975761413574,696.0,3.737555265426636,22.23360824584961,Orissa Deposits,21.513,0.8462151098831653,0.7860363574319911,0.10586448534357418,0.8213312474127052,0.18340993795923977,0.7917659638156045,0.605,0.2183935045510828,0.48950501354998094,0.941479573058519,0.4711426753636363,0.4157089058854274,64.82,HIGH
ZONE_010,0,9,21.509,85.50900000000001,0.4729863405227661,0.1962036490440368,1.036490559577942,1.4361677169799805,0.673853874206543,2.8055999279022217,736.0,11.032551765441896,21.35854721069336,Orissa Deposits,21.354,0.9023365075571522,0.9375629265043823,0.038414328356263905,0.853218150557078,0.04978205105162359,0.8560095991777597,0.8050000000000002,0.6446560580612734,0.4679244835265208,1.0,0.45694297888357555,0.6397397682824657,71.07,HIGH
