zone_id,grid_row,grid_col,center_lat,center_lon,min_lat,max_lat,min_lon,max_lon,NDVI,NDMI,RED_BLUE_RATIO,SWIR_RATIO,SWIR_NIR_RATIO,NIR_RED_RATIO,ELEVATION_M,SLOPE_DEG,TERRAIN_ROUGHNESS_M,NEAREST_MN_SITE,DISTANCE_TO_MN_KM
ZONE_001,0,0,21.509,85.49099999999999,21.508000000000003,21.51,85.49,85.49199999999999,0.2912705242633819,0.0001051696890499,1.2625036239624023,1.3172190189361572,1.0123984813690186,1.861953496932984,585.0,1.406423807144165,2.384848117828369,Orissa Deposits,22.809
ZONE_002,0,1,21.509,85.493,21.508000000000003,21.51,85.49199999999999,85.494,0.3081839084625244,-0.0063375039026141,1.2271671295166016,1.3338396549224854,1.0200186967849731,1.923187255859375,590.0,8.661291122436523,22.699119567871094,Orissa Deposits,22.644
ZONE_003,0,2,21.509,85.495,21.508000000000003,21.51,85.494,85.496,0.3430325090885162,-0.0026247934438288,1.1504204273223877,1.3181285858154297,1.0156943798065186,2.079684019088745,648.0,13.415751457214355,27.16411018371582,Orissa Deposits,22.48
ZONE_004,0,3,21.509,85.497,21.508000000000003,21.51,85.496,85.498,0.4438923895359039,0.1186877489089965,1.059345841407776,1.4179762601852417,0.796058177947998,2.6242570877075195,655.0,6.433589458465576,27.39474868774414,Orissa Deposits,22.317
ZONE_005,0,4,21.509,85.499,21.508000000000003,21.51,85.498,85.5,0.4874153435230255,0.195277601480484,1.0252498388290403,1.45251202583313,0.6754626035690308,2.911926746368408,684.0,11.001090049743652,39.23292541503906,Orissa Deposits,22.155
ZONE_006,0,5,21.509,85.501,21.508000000000003,21.51,85.5,85.502,0.4995842576026916,0.2128733396530151,1.0254014730453491,1.4611728191375732,0.6502458453178406,3.006476163864136,735.0,12.804558753967283,32.31829833984375,Orissa Deposits,21.993
ZONE_007,0,6,21.509,85.503,21.508000000000003,21.51,85.502,85.504,0.4671313762664795,0.1622316092252731,1.0506914854049685,1.441084384918213,0.7268393635749817,2.7919721603393555,775.0,16.163894653320312,30.45625305175781,Orissa Deposits,21.832
ZONE_008,0,7,21.509,85.505,21.508000000000003,21.51,85.504,85.506,0.4333766996860504,0.1168634742498397,1.0688408613204956,1.4213647842407229,0.7964338064193726,2.558565378189087,709.0,13.003173828125,30.22554016113281,Orissa Deposits,21.672
ZONE_009,0,8,21.509,85.507,21.508000000000003,21.51,85.506,85.50800000000001,0.457702100276947,0.155748501420021,1.056227684020996,1.4301807880401611,0.7372239232063293,2.715975761413574,696.0,3.737555265426636,22.23360824584961,Orissa Deposits,21.513
ZONE_010,0,9,21.509,85.50900000000001,21.508000000000003,21.51,85.50800000000001,85.51,0.4729863405227661,0.1962036490440368,1.036490559577942,1.4361677169799805,0.673853874206543,2.8055999279022217,736.0,11.032551765441896,21.35854721069336,Orissa Deposits,21.354
ZONE_011,1,0,21.507,85.49099999999999,21.506,21.508000000000003,85.49,85.49199999999999,0.3092804849147796,0.0009144718060269,1.2376731634140017,1.33440899848938,1.0086723566055298,1.9338088035583496,584.0,1.2200497388839722,3.337497472763061,Orissa Deposits,22.944
ZONE_012,1,1,21.507,85.493,21.506,21.508000000000003,85.49199999999999,85.494,0.3083785474300384,-0.0130352210253477,1.2224092483520508,1.3248670101165771,1.0372545719146729,1.9284353256225584,588.0,3.5109448432922363,20.60444641113281,Orissa Deposits,22.78
ZONE_013,1,2,21.507,85.495,21.506,21.508000000000003,85.494,85.496,0.3596000373363495,0.0296647194772958,1.1363250017166138,1.3560161590576172,0.9562432765960692,2.16199278831482,608.0,8.591218948364258,26.816246032714844,Orissa Deposits,22.617
ZONE_014,1,3,21.507,85.497,21.506,21.508000000000003,85.496,85.498,0.4371280968189239,0.1192659139633178,1.056330919265747,1.415486216545105,0.7928864359855652,2.573652744293213,639.0,11.20103645324707,26.43136978149414,Orissa Deposits,22.455
ZONE_015,1,4,21.507,85.499,21.506,21.508000000000003,85.498,85.5,0.4656361639499664,0.1756068021059036,1.0391454696655271,1.4445213079452517,0.703703761100769,2.755760669708252,689.0,15.255534172058104,37.14569091796875,Orissa Deposits,22.294
ZONE_016,1,5,21.507,85.501,21.506,21.508000000000003,85.5,85.502,0.4542498290538788,0.1645151823759079,1.051601767539978,1.4293028116226196,0.7211578488349915,2.6888136863708496,748.0,8.64201545715332,39.95676803588867,Orissa Deposits,22.133
ZONE_017,1,6,21.507,85.503,21.506,21.508000000000003,85.502,85.504,0.4630407691001892,0.1581878066062927,1.0539671182632446,1.4358049631118774,0.7302063703536987,2.74538254737854,712.0,17.11385726928711,38.82471084594727,Orissa Deposits,21.973
ZONE_018,1,7,21.507,85.505,21.506,21.508000000000003,85.504,85.506,0.4704735577106476,0.1576508432626724,1.0475572347640991,1.4518721103668213,0.7335116267204285,2.8061232566833496,680.0,6.608046531677246,32.66364288330078,Orissa Deposits,21.814
ZONE_019,1,8,21.507,85.507,21.506,21.508000000000003,85.506,85.50800000000001,0.487028568983078,0.1762964129447937,1.0452640056610107,1.4637267589569092,0.703852117061615,2.922694683074951,697.0,8.545150756835938,25.90629005432129,Orissa Deposits,21.656
ZONE_020,1,9,21.507,85.50900000000001,21.506,21.508000000000003,85.50800000000001,85.51,0.4704014360904693,0.1675996929407119,1.0510362386703491,1.4371403455734253,0.717261552810669,2.799858808517456,742.0,12.27213191986084,21.35155487060547,Orissa Deposits,21.498
ZONE_021,2,0,21.505000000000003,85.49099999999999,21.504,21.506,85.49,85.49199999999999,0.3533678650856018,0.0421308614313602,1.155081272125244,1.373430848121643,0.9343041181564332,2.152421236038208,581.0,0.0,2.671869993209839,Orissa Deposits,23.08
ZONE_022,2,1,21.505000000000003,85.493,21.504,21.506,85.49199999999999,85.494,0.3795354962348938,0.0752651467919349,1.1268649101257324,1.3644496202468872,0.8759636282920837,2.275786876678467,581.0,3.8685531616210938,12.084067344665527,Orissa Deposits,22.917
ZONE_023,2,2,21.505000000000003,85.495,21.504,21.506,85.494,85.496,0.4119995832443237,0.110384427011013,1.103790521621704,1.3797776699066162,0.8129981756210327,2.4550676345825195,609.0,8.249293327331543,20.327564239501957,Orissa Deposits,22.756
ZONE_024,2,3,21.505000000000003,85.497,21.504,21.506,85.496,85.498,0.4461014568805694,0.1550021469593048,1.0407381057739258,1.4159876108169556,0.7335367202758789,2.620753765106201,641.0,6.503802299499512,25.801713943481445,Orissa Deposits,22.594
ZONE_025,2,4,21.505000000000003,85.499,21.504,21.506,85.498,85.5,0.3753997683525085,0.0446309745311737,1.1099754571914673,1.3766285181045532,0.9279674291610718,2.227766990661621,652.0,10.898910522460938,41.149532318115234,Orissa Deposits,22.434
ZONE_026,2,5,21.505000000000003,85.501,21.504,21.506,85.5,85.502,0.3637458980083465,0.0261074602603912,1.1106741428375244,1.382149577140808,0.9621192216873168,2.178638219833374,672.0,16.182601928710938,42.9334831237793,Orissa Deposits,22.274
ZONE_027,2,6,21.505000000000003,85.503,21.504,21.506,85.502,85.504,0.3824205696582794,0.0446987859904766,1.100188374519348,1.3950544595718384,0.927945077419281,2.2788360118865967,659.0,11.05058765411377,42.28854370117188,Orissa Deposits,22.115
ZONE_028,2,7,21.505000000000003,85.505,21.504,21.506,85.504,85.506,0.4715454280376434,0.1651117205619812,1.029843807220459,1.44395649433136,0.7216655611991882,2.810328722000122,660.0,9.876413345336914,31.248504638671875,Orissa Deposits,21.957
ZONE_029,2,8,21.505000000000003,85.507,21.504,21.506,85.506,85.50800000000001,0.4827439486980438,0.1778338551521301,1.0339651107788086,1.4569112062454224,0.7015616297721863,2.885688543319702,690.0,11.068277359008787,37.63994598388672,Orissa Deposits,21.8
ZONE_030,2,9,21.505000000000003,85.50900000000001,21.504,21.506,85.50800000000001,85.51,0.44526007771492,0.1355126649141311,1.0778357982635498,1.4037245512008667,0.766951858997345,2.6321070194244385,731.0,12.819906234741213,28.620603561401367,Orissa Deposits,21.644
ZONE_031,3,0,21.503,85.49099999999999,21.502,21.504,85.49,85.49199999999999,0.366017609834671,0.037669114768505,1.15431809425354,1.3733333349227903,0.9356396198272704,2.189977169036865,584.0,1.0498617887496948,3.511884450912476,Orissa Deposits,23.218
ZONE_032,3,1,21.503,85.493,21.502,21.504,85.49199999999999,85.494,0.3890384137630462,0.082118883728981,1.098280429840088,1.3728538751602173,0.8575950860977173,2.3013927936553955,587.0,3.9432566165924072,10.853684425354004,Orissa Deposits,23.056
ZONE_033,3,2,21.503,85.495,21.502,21.504,85.494,85.496,0.4113365113735199,0.0999234467744827,1.0708023309707642,1.3906537294387815,0.8215728998184204,2.413653612136841,611.0,5.344306468963623,18.553226470947266,Orissa Deposits,22.895
ZONE_034,3,3,21.503,85.497,21.502,21.504,85.496,85.498,0.4058854877948761,0.0987397357821464,1.0643436908721924,1.3834633827209473,0.824935793876648,2.379936933517456,618.0,6.154104709625244,21.63216590881348,Orissa Deposits,22.735
ZONE_035,3,4,21.503,85.499,21.502,21.504,85.498,85.5,0.4154052138328552,0.1086106225848198,1.059043288230896,1.3934775590896606,0.806786298751831,2.428962230682373,610.0,8.180233001708984,26.5962028503418,Orissa Deposits,22.576
ZONE_036,3,5,21.503,85.501,21.502,21.504,85.5,85.502,0.3644896447658539,0.0245563276112079,1.103976488113403,1.3773785829544067,0.9632843136787416,2.166128635406494,619.0,9.316975593566896,27.54435157775879,Orissa Deposits,22.417
ZONE_037,3,6,21.503,85.503,21.502,21.504,85.502,85.504,0.3962965905666351,0.0719425529241561,1.0799682140350342,1.3945780992507937,0.8713103532791138,2.329292297363281,626.0,7.397870540618896,26.911376953125,Orissa Deposits,22.259
ZONE_038,3,7,21.503,85.505,21.502,21.504,85.504,85.506,0.4075981974601745,0.0919569358229637,1.0977221727371216,1.3987635374069214,0.842310905456543,2.423186779022217,610.0,8.634031295776367,30.499950408935547,Orissa Deposits,22.102
ZONE_039,3,8,21.503,85.507,21.502,21.504,85.506,85.50800000000001,0.4607256948947906,0.1490753144025802,1.0494215488433838,1.440902590751648,0.7440323829650879,2.7276451587677,655.0,15.128084182739258,42.255836486816406,Orissa Deposits,21.946
ZONE_040,3,9,21.503,85.50900000000001,21.502,21.504,85.50800000000001,85.51,0.4611019492149353,0.1608250737190246,1.042383909225464,1.4359196424484253,0.7248089909553528,2.720712661743164,692.0,15.732837677001951,40.72945785522461,Orissa Deposits,21.79
ZONE_041,4,0,21.501,85.49099999999999,21.5,21.502,85.49,85.49199999999999,0.3374775946140289,0.0218517649918794,1.223249912261963,1.343644618988037,0.9658187627792358,2.0584216117858887,586.0,1.435529351234436,3.804237365722656,Orissa Deposits,23.357
ZONE_042,4,1,21.501,85.493,21.5,21.502,85.49199999999999,85.494,0.3158893585205078,-0.0101873343810439,1.2451094388961792,1.3278203010559082,1.033238172531128,1.9793041944503784,591.0,0.7002694010734558,8.49109935760498,Orissa Deposits,23.196
ZONE_043,4,2,21.501,85.495,21.5,21.502,85.494,85.496,0.3488082587718963,0.0410199053585529,1.1371355056762695,1.36702561378479,0.9294188022613524,2.093510150909424,584.0,2.076364755630493,10.457438468933104,Orissa Deposits,23.036
ZONE_044,4,3,21.501,85.497,21.5,21.502,85.496,85.498,0.3264548480510711,0.0277902390807867,1.1857417821884155,1.3332618474960327,0.954940378665924,2.0024447441101074,593.0,2.756061315536499,10.678234100341797,Orissa Deposits,22.877
