zone_id,grid_row,grid_col,center_lat,center_lon,min_lat,max_lat,min_lon,max_lon,NDVI,NDMI,RED_BLUE_RATIO,SWIR_RATIO,SWIR_NIR_RATIO,NIR_RED_RATIO,ELEVATION_M
ZONE_001,0,0,21.509,85.49099999999999,21.508000000000003,21.51,85.49,85.49199999999999,0.2912705242633819,0.0001051696890499,1.2625036239624023,1.3172190189361572,1.0123984813690186,1.8619534969329836,585.0
ZONE_002,0,1,21.509,85.493,21.508000000000003,21.51,85.49199999999999,85.494,0.3081839084625244,-0.0063375039026141,1.2271671295166016,1.3338396549224854,1.0200186967849731,1.923187255859375,590.0
ZONE_003,0,2,21.509,85.495,21.508000000000003,21.51,85.494,85.496,0.3430325090885162,-0.0026247934438288,1.1504204273223877,1.3181285858154297,1.0156943798065186,2.079684019088745,648.0
ZONE_004,0,3,21.509,85.497,21.508000000000003,21.51,85.496,85.498,0.4438923895359039,0.1186877489089965,1.059345841407776,1.4179762601852417,0.796058177947998,2.6242570877075195,655.0
ZONE_005,0,4,21.509,85.499,21.508000000000003,21.51,85.498,85.5,0.4874153435230255,0.195277601480484,1.0252498388290403,1.45251202583313,0.6754626035690308,2.911926746368408,684.0
ZONE_006,0,5,21.509,85.501,21.508000000000003,21.51,85.5,85.502,0.4995842576026916,0.2128733396530151,1.0254014730453491,1.4611728191375732,0.6502458453178406,3.006476163864136,735.0
ZONE_007,0,6,21.509,85.503,21.508000000000003,21.51,85.502,85.504,0.4671313762664795,0.1622316092252731,1.0506914854049685,1.441084384918213,0.7268393635749817,2.7919721603393555,775.0
ZONE_008,0,7,21.509,85.505,21.508000000000003,21.51,85.504,85.506,0.4333766996860504,0.1168634742498397,1.0688408613204956,1.4213647842407229,0.7964338064193726,2.558565378189087,709.0
ZONE_009,0,8,21.509,85.507,21.508000000000003,21.51,85.506,85.50800000000001,0.457702100276947,0.155748501420021,1.056227684020996,1.4301807880401611,0.7372239232063293,2.715975761413574,696.0
ZONE_010,0,9,21.509,85.50900000000001,21.508000000000003,21.51,85.50800000000001,85.51,0.4729863405227661,0.1962036490440368,1.036490559577942,1.4361677169799805,0.673853874206543,2.8055999279022217,736.0
ZONE_011,1,0,21.507,85.49099999999999,21.506,21.508000000000003,85.49,85.49199999999999,0.3092804849147796,0.0009144718060269,1.2376731634140017,1.33440899848938,1.0086723566055298,1.9338088035583496,584.0
ZONE_012,1,1,21.507,85.493,21.506,21.508000000000003,85.49199999999999,85.494,0.3083785474300384,-0.0130352210253477,1.2224092483520508,1.3248670101165771,1.0372545719146729,1.9284353256225584,588.0
ZONE_013,1,2,21.507,85.495,21.506,21.508000000000003,85.494,85.496,0.3596000373363495,0.0296647194772958,1.1363250017166138,1.3560161590576172,0.9562432765960692,2.16199278831482,608.0
ZONE_014,1,3,21.507,85.497,21.506,21.508000000000003,85.496,85.498,0.4371280968189239,0.1192659139633178,1.056330919265747,1.415486216545105,0.7928864359855652,2.573652744293213,639.0
ZONE_015,1,4,21.507,85.499,21.506,21.508000000000003,85.498,85.5,0.4656361639499664,0.1756068021059036,1.0391454696655271,1.4445213079452517,0.703703761100769,2.755760669708252,689.0
ZONE_016,1,5,21.507,85.501,21.506,21.508000000000003,85.5,85.502,0.4542498290538788,0.1645151823759079,1.051601767539978,1.4293028116226196,0.7211578488349915,2.6888136863708496,748.0
ZONE_017,1,6,21.507,85.503,21.506,21.508000000000003,85.502,85.504,0.4630407691001892,0.1581878066062927,1.0539671182632446,1.4358049631118774,0.7302063703536987,2.74538254737854,712.0
